Platform,Number of Participants,Percentage of Participants that are Male,Average Parent's Salary,Average Height,Percentage of Participants that Attended School,Percentage of Participants that Play Games,Percentage of Participants that Voted in the 2016,Percentage of Participants that are Feminists,Percentage of Participants that are Single,Percentage of Participants that Received a Loan,Percentage of Participants that are Virgins,Percentage of Participants that are Straight,Percentage of Participants that are in a Fraternity,Percentage of Participants that Spoke English,Percentage of Participants that are Employed,Percentage of Participants with Career Paths,Average GPA,Percentage of Participants that own a PC,Percentage of Participants that are in a Club,Average Graduation Year
Facebook,548,59.48905109489051,165482.23350253806,165.66444444444443,97.8021978021978,66.66666666666666,87.25274725274726,43.037974683544306,70.71823204419888,31.223628691983123,22.317596566523605,86.0,65.52511415525115,90.9090909090909,36.48068669527897,80.95238095238095,3.052182163187856,31.115879828326182,28.73051224944321,2018.6936936936936
Instagram,916,41.53005464480874,144329.8969072165,165.54046242774567,97.26027397260275,68.23529411764706,85.69321533923303,52.84552845528455,70.0,33.85826771653544,23.81578947368421,86.13138686131386,62.363919129082426,90.9090909090909,37.14670255720054,75.96153846153845,2.979683972911964,26.902887139107612,23.700305810397555,2018.8573743922204
Snapchat,86,65.88235294117646,134473.68421052632,164.6381818181818,97.22222222222221,75.0,85.71428571428571,35.294117647058826,75.75757575757575,30.88235294117647,26.08695652173913,91.66666666666666,54.83870967741935,88.23529411764706,26.47058823529412,75.0,3.1164383561643834,37.878787878787875,25.0,2018.7796610169491
Twitter,179,68.15642458100558,136288.65979381444,164.7613333333333,98.88888888888889,81.25,85.61151079136691,37.142857142857146,72.15189873417721,37.735849056603776,30.32258064516129,88.88888888888889,50.78125,87.85046728971963,40.0,72.5,2.925414364640884,35.76158940397351,19.230769230769234,2019.1739130434783
None,947,71.44362486828241,148310.41257367388,165.79995824634653,96.72131147540983,73.05389221556887,86.04954367666232,36.440677966101696,72.38307349665925,33.57400722021661,28.019323671497588,91.62011173184358,52.45231607629428,91.35135135135135,39.44174757281553,75.94594594594595,3.010438413361169,39.50920245398773,22.74562584118439,2018.8325859491779
